Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Angola,AGO,21-Jan-20,,2017,23.89042512
Angola,AGO,22-Jan-20,,2017,23.89042512
Angola,AGO,23-Jan-20,,2017,23.89042512
Angola,AGO,24-Jan-20,,2017,23.89042512
Angola,AGO,25-Jan-20,,2017,23.89042512
Angola,AGO,26-Jan-20,,2017,23.89042512
Angola,AGO,27-Jan-20,,2017,23.89042512
Angola,AGO,28-Jan-20,,2017,23.89042512
Angola,AGO,29-Jan-20,,2017,23.89042512
Angola,AGO,30-Jan-20,,2017,23.89042512
Angola,AGO,31-Jan-20,,2017,23.89042512
Angola,AGO,01-Feb-20,,2017,23.89042512
Angola,AGO,02-Feb-20,,2017,23.89042512
Angola,AGO,03-Feb-20,,2017,23.89042512
Angola,AGO,04-Feb-20,,2017,23.89042512
Angola,AGO,05-Feb-20,,2017,23.89042512
Angola,AGO,06-Feb-20,,2017,23.89042512
Angola,AGO,07-Feb-20,,2017,23.89042512
Angola,AGO,08-Feb-20,,2017,23.89042512
Angola,AGO,09-Feb-20,,2017,23.89042512
Angola,AGO,10-Feb-20,,2017,23.89042512
Angola,AGO,11-Feb-20,,2017,23.89042512
Angola,AGO,12-Feb-20,,2017,23.89042512
Angola,AGO,13-Feb-20,,2017,23.89042512
Angola,AGO,14-Feb-20,,2017,23.89042512
Angola,AGO,15-Feb-20,,2017,23.89042512
Angola,AGO,16-Feb-20,,2017,23.89042512
Angola,AGO,17-Feb-20,,2017,23.89042512
Angola,AGO,18-Feb-20,,2017,23.89042512
Angola,AGO,19-Feb-20,,2017,23.89042512
Angola,AGO,20-Feb-20,,2017,23.89042512
Angola,AGO,21-Feb-20,,2017,23.89042512
Angola,AGO,22-Feb-20,,2017,23.89042512
Angola,AGO,23-Feb-20,,2017,23.89042512
Angola,AGO,24-Feb-20,,2017,23.89042512
Angola,AGO,25-Feb-20,,2017,23.89042512
